Venue,Bat First,Bat Second,Winner
The Rose Bowl,England,Australia,England
Eden Park,Australia,New Zealand,Australia
New Wanderers Stadium,South Africa,New Zealand,New Zealand
County Ground,England,Pakistan,Pakistan
The Rose Bowl,Sri Lanka,England,Sri Lanka
Brisbane Cricket Ground,Australia,South Africa,Australia
New Wanderers Stadium,South Africa,Australia,South Africa
Sydney Cricket Ground,Australia,England,Australia
Westpac Stadium,New Zealand,Sri Lanka,Sri Lanka
Eden Park,Sri Lanka,New Zealand,New Zealand
New Wanderers Stadium,South Africa,India,India
Kennington Oval,West Indies,England,West Indies
Kennington Oval,West Indies,England,England
New Wanderers Stadium,West Indies,South Africa,South Africa
Kingsmead,Kenya,New Zealand,New Zealand
Kingsmead,Pakistan,Scotland,Pakistan
Newlands,Australia,Zimbabwe,Zimbabwe
New Wanderers Stadium,West Indies,Bangladesh,Bangladesh
Newlands,England,Zimbabwe,England
New Wanderers Stadium,Sri Lanka,Kenya,Sri Lanka
Newlands,England,Australia,Australia
New Wanderers Stadium,New Zealand,Sri Lanka,Sri Lanka
Newlands,Bangladesh,South Africa,South Africa
New Wanderers Stadium,New Zealand,India,New Zealand
Newlands,Bangladesh,Australia,Australia
Newlands,South Africa,England,South Africa
New Wanderers Stadium,Pakistan,Sri Lanka,Pakistan
Kingsmead,New Zealand,England,New Zealand
New Wanderers Stadium,Australia,Pakistan,Pakistan
New Wanderers Stadium,Sri Lanka,Bangladesh,Sri Lanka
Kingsmead,New Zealand,South Africa,South Africa
Kingsmead,India,England,India
Newlands,Sri Lanka,Australia,Australia
Newlands,Bangladesh,Pakistan,Pakistan
Kingsmead,India,South Africa,India
Newlands,New Zealand,Pakistan,Pakistan
Kingsmead,India,Australia,India
New Wanderers Stadium,India,Pakistan,India
Western Australia Cricket Association Ground,Australia,New Zealand,Australia
Melbourne Cricket Ground,India,Australia,Australia
Old Trafford,New Zealand,England,England
Brabourne Stadium,Australia,India,India
New Wanderers Stadium,New Zealand,South Africa,South Africa
New Wanderers Stadium,West Indies,South Africa,South Africa
Eden Park,England,New Zealand,England
Jade Stadium,England,New Zealand,England
Gymkhana Club Ground,Kenya,Bangladesh,Bangladesh
Gymkhana Club Ground,Pakistan,Bangladesh,Pakistan
Gymkhana Club Ground,Kenya,Pakistan,Pakistan
St George's Park,South Africa,West Indies,West Indies
Kensington Oval,Australia,West Indies,West Indies
National Stadium,Pakistan,Bangladesh,Pakistan
New Wanderers Stadium,South Africa,Bangladesh,South Africa
New Wanderers Stadium,Australia,South Africa,South Africa
SuperSport Park,South Africa,Australia,South Africa
Melbourne Cricket Ground,Australia,South Africa,Australia
Brisbane Cricket Ground,South Africa,Australia,Australia
Sydney Cricket Ground,Australia,New Zealand,Australia
Queen's Park Oval,England,West Indies,West Indies
Civil Service Cricket Club,Bermuda,Scotland,Scotland
Lord's,England,Netherlands,Netherlands
Kennington Oval,Scotland,New Zealand,New Zealand
Kennington Oval,Australia,West Indies,West Indies
Trent Bridge,India,Bangladesh,India
Kennington Oval,South Africa,Scotland,South Africa
Kennington Oval,England,Pakistan,England
Trent Bridge,Bangladesh,Ireland,Ireland
Trent Bridge,Australia,Sri Lanka,Sri Lanka
Lord's,Pakistan,Netherlands,Pakistan
Lord's,South Africa,New Zealand,South Africa
Trent Bridge,Ireland,India,India
Trent Bridge,Sri Lanka,West Indies,Sri Lanka
Trent Bridge,New Zealand,Ireland,New Zealand
Trent Bridge,England,South Africa,South Africa
Lord's,Sri Lanka,Pakistan,Sri Lanka
Lord's,India,West Indies,West Indies
Kennington Oval,South Africa,West Indies,South Africa
Kennington Oval,New Zealand,Pakistan,Pakistan
Lord's,Sri Lanka,Ireland,Sri Lanka
Lord's,England,India,England
Kennington Oval,England,West Indies,West Indies
Kennington Oval,Pakistan,Ireland,Pakistan
Trent Bridge,Sri Lanka,New Zealand,Sri Lanka
Trent Bridge,South Africa,India,South Africa
Trent Bridge,Pakistan,South Africa,Pakistan
Kennington Oval,Sri Lanka,West Indies,Sri Lanka
Lord's,Sri Lanka,Pakistan,Pakistan
Civil Service Cricket Club,Kenya,Ireland,Ireland
Civil Service Cricket Club,Scotland,Netherlands,Netherlands
Maple Leaf North-West Ground,Sri Lanka,Pakistan,Pakistan
Maple Leaf North-West Ground,Pakistan,Sri Lanka,Sri Lanka
Westpac Stadium,India,New Zealand,New Zealand
Seddon Park,New Zealand,West Indies,New Zealand
AMI Stadium,India,New Zealand,New Zealand
R Premadasa Stadium,Sri Lanka,India,India
New Wanderers Stadium,England,South Africa,England
SuperSport Park,South Africa,England,South Africa
Dubai International Cricket Stadium,Australia,Pakistan,Pakistan
Warner Park,Bangladesh,West Indies,West Indies
R Premadasa Stadium,Pakistan,Sri Lanka,Pakistan
R Premadasa Stadium,New Zealand,Sri Lanka,New Zealand
R Premadasa Stadium,New Zealand,Sri Lanka,New Zealand
Bellerive Oval,Australia,West Indies,Australia
